,rotation,magnetic_potential_energy
127,127.0,1.6193213589860045e-05
128,128.0,1.624915617455905e-05
129,129.0,1.6294190448295355e-05
130,130.0,1.632798346071397e-05
131,131.0,1.6351839784582484e-05
132,132.0,1.636830807344866e-05
133,133.0,1.6379250904859067e-05
134,134.0,1.638554532268232e-05
135,135.0,1.638773196906023e-05
136,136.0,1.6385545322682274e-05
137,137.0,1.6379250904859067e-05
138,138.0,1.6368308073448652e-05
139,139.0,1.6351839784582426e-05
140,140.0,1.632798346071397e-05
141,141.0,1.6294190448295355e-05
142,142.0,1.624915617455905e-05
143,143.0,1.6193213589860045e-05
144,144.0,1.6128647204074176e-05
145,145.0,1.6058355697849102e-05
146,146.0,1.5985006586635873e-05
147,147.0,1.591037068997519e-05
148,148.0,1.5835445708758875e-05
149,149.0,1.575985043137234e-05
150,150.0,1.568170392986387e-05
151,151.0,1.5597712588908934e-05
152,152.0,1.5504086108161772e-05
153,153.0,1.539851916069461e-05
154,154.0,1.5281010422331213e-05
155,155.0,1.5154497870878543e-05
156,156.0,1.5023594886786606e-05
157,157.0,1.489290739567543e-05
158,158.0,1.476616249924021e-05
159,159.0,1.4646697528104597e-05
160,160.0,1.4538240173142137e-05
161,161.0,1.4444208687323416e-05
162,162.0,1.4366948792646999e-05
163,163.0,1.430835479165192e-05
164,164.0,1.4270622197795067e-05
165,165.0,1.4252492135123027e-05
166,166.0,1.4246662185836208e-05
167,167.0,1.4243433778802238e-05
168,168.0,1.423460738842209e-05
169,169.0,1.421650584820916e-05
170,170.0,1.419072471438284e-05
171,171.0,1.4162281322790532e-05
172,172.0,1.4139915472303946e-05
173,173.0,1.4134304301971354e-05
174,174.0,1.4152764691923253e-05
175,175.0,1.4196658756312953e-05
176,176.0,1.4260119224940351e-05
177,177.0,1.4330207914648451e-05
178,178.0,1.43922591426098e-05
179,179.0,1.443479961331257e-05
180,180.0,1.4450015567793223e-05
