x,y,z,Bz
-0.011363636,-0.01469697,0.001,0.006741782
-0.011060606,-0.01469697,0.001,0.006585335
-0.010757576,-0.01469697,0.001,0.006405626
-0.010454545,-0.01469697,0.001,0.006204558
-0.010151515,-0.01469697,0.001,0.00598444
-0.009848485,-0.01469697,0.001,0.005747883
-0.009545455,-0.01469697,0.001,0.005497655
-0.009242424,-0.01469697,0.001,0.005236551
-0.008939394,-0.01469697,0.001,0.004967255
-0.008636364,-0.01469697,0.001,0.004692232
-0.008333333,-0.01469697,0.001,0.004413654
-0.008030303,-0.01469697,0.001,0.004133366
-0.007727273,-0.01469697,0.001,0.003852887
-0.007424242,-0.01469697,0.001,0.003573443
-0.007121212,-0.01469697,0.001,0.003296027
-0.006818182,-0.01469697,0.001,0.003021473
-0.006515152,-0.01469697,0.001,0.002750535
-0.006212121,-0.01469697,0.001,0.002483963
-0.005909091,-0.01469697,0.001,0.002222573
-0.005606061,-0.01469697,0.001,0.001967309
-0.00530303,-0.01469697,0.001,0.001719281
-0.005,-0.01469697,0.001,0.001479797
-0.00469697,-0.01469697,0.001,0.001250366
-0.004393939,-0.01469697,0.001,0.001032689
-0.004090909,-0.01469697,0.001,0.000828625
-0.003787879,-0.01469697,0.001,0.000640132
-0.003484848,-0.01469697,0.001,0.000469194
-0.003181818,-0.01469697,0.001,0.000317716
-0.002878788,-0.01469697,0.001,0.000187406
-0.002575758,-0.01469697,0.001,7.96E-05
-0.002272727,-0.01469697,0.001,-4.71E-06
-0.001969697,-0.01469697,0.001,-6.54E-05
-0.001666667,-0.01469697,0.001,-0.00010283
-0.001363636,-0.01469697,0.001,-0.000118478
-0.001060606,-0.01469697,0.001,-0.000114586
-0.000757576,-0.01469697,0.001,-9.43E-05
-0.000454545,-0.01469697,0.001,-6.17E-05
-0.000151515,-0.01469697,0.001,-2.15E-05
0.000151515,-0.01469697,0.001,2.15E-05
0.000454545,-0.01469697,0.001,6.17E-05
0.000757576,-0.01469697,0.001,9.43E-05
0.001060606,-0.01469697,0.001,0.000114586
0.001363636,-0.01469697,0.001,0.000118478
0.001666667,-0.01469697,0.001,0.00010283
0.001969697,-0.01469697,0.001,6.54E-05
0.002272727,-0.01469697,0.001,4.71E-06
0.002575758,-0.01469697,0.001,-7.96E-05
0.002878788,-0.01469697,0.001,-0.000187406
0.003181818,-0.01469697,0.001,-0.000317716
0.003484848,-0.01469697,0.001,-0.000469194
0.003787879,-0.01469697,0.001,-0.000640132
0.004090909,-0.01469697,0.001,-0.000828625
0.004393939,-0.01469697,0.001,-0.001032689
0.00469697,-0.01469697,0.001,-0.001250366
0.005,-0.01469697,0.001,-0.001479797
0.00530303,-0.01469697,0.001,-0.001719281
0.005606061,-0.01469697,0.001,-0.001967309
0.005909091,-0.01469697,0.001,-0.002222573
0.006212121,-0.01469697,0.001,-0.002483963
0.006515152,-0.01469697,0.001,-0.002750535
0.006818182,-0.01469697,0.001,-0.003021473
0.007121212,-0.01469697,0.001,-0.003296027
0.007424242,-0.01469697,0.001,-0.003573443
0.007727273,-0.01469697,0.001,-0.003852887
0.008030303,-0.01469697,0.001,-0.004133366
0.008333333,-0.01469697,0.001,-0.004413654
0.008636364,-0.01469697,0.001,-0.004692232
0.008939394,-0.01469697,0.001,-0.004967255
0.009242424,-0.01469697,0.001,-0.005236551
0.009545455,-0.01469697,0.001,-0.005497655
0.009848485,-0.01469697,0.001,-0.005747883
0.010151515,-0.01469697,0.001,-0.00598444
0.010454545,-0.01469697,0.001,-0.006204558
0.010757576,-0.01469697,0.001,-0.006405626
0.011060606,-0.01469697,0.001,-0.006585335
0.011363636,-0.01469697,0.001,-0.006741782
0.011666667,-0.01469697,0.001,-0.00687355
0.011969697,-0.01469697,0.001,-0.006979749
0.012272727,-0.01469697,0.001,-0.007060022
0.012575758,-0.01469697,0.001,-0.007114511
0.012878788,-0.01469697,0.001,-0.007143812
0.013181818,-0.01469697,0.001,-0.007148902
0.013484848,-0.01469697,0.001,-0.007131065
0.013787879,-0.01469697,0.001,-0.00709182
0.014090909,-0.01469697,0.001,-0.00703285
0.014393939,-0.01469697,0.001,-0.006955933
0.01469697,-0.01469697,0.001,-0.006862895
0.015,-0.01469697,0.001,-0.006755561
-0.015,-0.014393939,0.001,0.006856001
-0.01469697,-0.014393939,0.001,0.006955933
-0.014393939,-0.014393939,0.001,0.007039062
-0.014090909,-0.014393939,0.001,0.0071032
-0.013787879,-0.014393939,0.001,0.007146137
-0.013484848,-0.014393939,0.001,0.0071657
-0.013181818,-0.014393939,0.001,0.007159822
-0.012878788,-0.014393939,0.001,0.007126618
-0.012575758,-0.014393939,0.001,0.007064491
-0.012272727,-0.014393939,0.001,0.006972227
-0.011969697,-0.014393939,0.001,0.00684911
-0.011666667,-0.014393939,0.001,0.006695022
-0.011363636,-0.014393939,0.001,0.006510527
-0.011060606,-0.014393939,0.001,0.006296925
-0.010757576,-0.014393939,0.001,0.006056253
-0.010454545,-0.014393939,0.001,0.00579124
-0.010151515,-0.014393939,0.001,0.005505189
-0.009848485,-0.014393939,0.001,0.005201818
-0.009545455,-0.014393939,0.001,0.004885055
-0.009242424,-0.014393939,0.001,0.004558823
-0.008939394,-0.014393939,0.001,0.004226844
