x,y,z,fy
0.010454545,-0.015,0.001,-0.043754468
0.010757576,-0.015,0.001,-0.041504873
0.011060606,-0.015,0.001,-0.03925185
0.011363636,-0.015,0.001,-0.037016163
0.011666667,-0.015,0.001,-0.034816281
0.011969697,-0.015,0.001,-0.032668108
0.012272727,-0.015,0.001,-0.030584856
0.012575758,-0.015,0.001,-0.028577054
0.012878788,-0.015,0.001,-0.026652678
0.013181818,-0.015,0.001,-0.024817352
0.013484848,-0.015,0.001,-0.023074612
0.013787879,-0.015,0.001,-0.021426189
0.014090909,-0.015,0.001,-0.0198723
0.014393939,-0.015,0.001,-0.018411923
0.01469697,-0.015,0.001,-0.017043055
0.015,-0.015,0.001,-0.015762936
-0.015,-0.01469697,0.001,0.016333602
-0.01469697,-0.01469697,0.001,0.017706539
-0.014393939,-0.01469697,0.001,0.019180308
-0.014090909,-0.01469697,0.001,0.020758877
-0.013787879,-0.01469697,0.001,0.022445469
-0.013484848,-0.01469697,0.001,0.024242291
-0.013181818,-0.01469697,0.001,0.026150226
-0.012878788,-0.01469697,0.001,0.028168478
-0.012575758,-0.01469697,0.001,0.030294197
-0.012272727,-0.01469697,0.001,0.032522088
-0.011969697,-0.01469697,0.001,0.034844044
-0.011666667,-0.01469697,0.001,0.037248832
-0.011363636,-0.01469697,0.001,0.039721875
-0.011060606,-0.01469697,0.001,0.042245184
-0.010757576,-0.01469697,0.001,0.044797474
-0.010454545,-0.01469697,0.001,0.047354487
-0.010151515,-0.01469697,0.001,0.049889534
-0.009848485,-0.01469697,0.001,0.052374221
-0.009545455,-0.01469697,0.001,0.054779293
-0.009242424,-0.01469697,0.001,0.05707553
-0.008939394,-0.01469697,0.001,0.059234601
-0.008636364,-0.01469697,0.001,0.061229779
-0.008333333,-0.01469697,0.001,0.06303649
-0.008030303,-0.01469697,0.001,0.064632636
-0.007727273,-0.01469697,0.001,0.065998723
-0.007424242,-0.01469697,0.001,0.067117793
-0.007121212,-0.01469697,0.001,0.067975231
-0.006818182,-0.01469697,0.001,0.068558476
-0.006515152,-0.01469697,0.001,0.068856689
-0.006212121,-0.01469697,0.001,0.06886042
-0.005909091,-0.01469697,0.001,0.068561311
-0.005606061,-0.01469697,0.001,0.067951847
-0.00530303,-0.01469697,0.001,0.067025183
-0.005,-0.01469697,0.001,0.065775058
-0.00469697,-0.01469697,0.001,0.064195805
-0.004393939,-0.01469697,0.001,0.062282457
-0.004090909,-0.01469697,0.001,0.060030966
-0.003787879,-0.01469697,0.001,0.057438532
-0.003484848,-0.01469697,0.001,0.05450404
-0.003181818,-0.01469697,0.001,0.051228603
-0.002878788,-0.01469697,0.001,0.047616204
-0.002575758,-0.01469697,0.001,0.043674397
-0.002272727,-0.01469697,0.001,0.039415043
-0.001969697,-0.01469697,0.001,0.034855011
-0.001666667,-0.01469697,0.001,0.030016781
-0.001363636,-0.01469697,0.001,0.024928843
-0.001060606,-0.01469697,0.001,0.01962582
-0.000757576,-0.01469697,0.001,0.014148211
-0.000454545,-0.01469697,0.001,0.008541714
-0.000151515,-0.01469697,0.001,0.002856126
